"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-Apr-2021","    14522.40","    14597.55","    14353.20","    14581.45","      556851211","        40177.25"
"16-Apr-2021","    14599.60","    14697.70","    14559.00","    14617.85","      568568743","        36653.65"
"19-Apr-2021","    14306.60","    14382.30","    14191.40","    14359.45","      503142904","        34751.95"
"20-Apr-2021","    14526.70","    14526.95","    14207.30","    14296.40","      456704716","        34687.11"
"22-Apr-2021","    14219.15","    14424.75","    14151.40","    14406.15","      516985252","        37235.71"
"23-Apr-2021","    14326.35","    14461.15","    14273.30","    14341.35","      476613608","        31894.66"
"26-Apr-2021","    14449.45","    14557.50","    14421.30","    14485.00","      448533329","        33156.16"
"27-Apr-2021","    14493.80","    14667.55","    14484.85","    14653.05","      442211685","        32181.14"
"28-Apr-2021","    14710.50","    14890.25","    14694.95","    14864.55","      453990807","        37650.11"
"29-Apr-2021","    14979.00","    15044.35","    14814.45","    14894.90","      511466673","        41597.37"
"30-Apr-2021","    14747.35","    14855.45","    14601.70","    14631.10","      594744498","        40335.86"
"03-May-2021","    14481.05","    14673.85","    14416.25","    14634.15","      443410846","        32538.97"
"04-May-2021","    14687.25","    14723.40","    14461.50","    14496.50","      479657079","        34024.77"
"05-May-2021","    14604.15","    14637.90","    14506.60","    14617.85","      437261063","        28942.47"
"06-May-2021","    14668.35","    14743.90","    14611.50","    14724.80","      445281496","        31015.95"
"07-May-2021","    14816.85","    14863.05","    14765.50","    14823.15","      483677266","        33583.37"
"10-May-2021","    14928.25","    14966.90","    14892.50","    14942.35","      510598577","        31620.64"
"11-May-2021","    14789.70","    14900.00","    14771.40","    14850.75","      616204478","        32955.82"
"12-May-2021","    14823.55","    14824.05","    14649.70","    14696.50","      620318215","        32035.23"
"14-May-2021","    14749.40","    14749.65","    14591.90","    14677.80","      602738614","        39176.28"
"17-May-2021","    14756.25","    14938.00","    14725.35","    14923.15","      534516176","        35571.28"
"18-May-2021","    15067.20","    15137.25","    15043.70","    15108.10","      571923125","        35634.73"
"19-May-2021","    15058.60","    15133.40","    15008.85","    15030.15","      563293717","        31100.21"
"20-May-2021","    15042.60","    15069.80","    14884.90","    14906.05","      467455658","        28002.53"
"21-May-2021","    14987.80","    15190.00","    14985.85","    15175.30","      557730470","        31921.76"
"24-May-2021","    15211.35","    15256.25","    15145.45","    15197.70","      566722866","        32061.04"
"25-May-2021","    15291.75","    15293.85","    15163.40","    15208.45","      417323446","        26871.99"
"26-May-2021","    15257.05","    15319.90","    15194.95","    15301.45","      377682051","        26187.83"
"27-May-2021","    15323.95","    15384.55","    15272.50","    15337.85","      682374351","        48219.93"
"28-May-2021","    15421.20","    15469.65","    15394.75","    15435.65","      455582440","        32992.08"
"31-May-2021","    15437.75","    15606.35","    15374.00","    15582.80","      435999456","        32739.29"
"01-Jun-2021","    15629.65","    15660.75","    15528.30","    15574.85","      409562322","        27964.09"
"02-Jun-2021","    15520.35","    15597.45","    15459.85","    15576.20","      428641666","        28781.87"
"03-Jun-2021","    15655.55","    15705.10","    15611.00","    15690.35","      410240584","        27519.48"
"04-Jun-2021","    15712.50","    15733.60","    15622.35","    15670.25","      414162241","        25363.03"
"07-Jun-2021","    15725.10","    15773.45","    15678.10","    15751.65","      393970049","        25411.48"
"08-Jun-2021","    15773.90","    15778.80","    15680.00","    15740.10","      378164658","        24172.13"
"09-Jun-2021","    15766.30","    15800.45","    15566.90","    15635.35","      457855735","        26926.49"
"10-Jun-2021","    15692.10","    15751.25","    15648.50","    15737.75","      298297041","        23032.90"
"11-Jun-2021","    15796.45","    15835.55","    15749.80","    15799.35","      363011297","        24591.69"
"14-Jun-2021","    15791.40","    15823.05","    15606.50","    15811.85","      392862037","        28001.50"
"15-Jun-2021","    15866.95","    15901.60","    15842.40","    15869.25","      323262818","        22181.26"
"16-Jun-2021","    15847.50","    15880.85","    15742.60","    15767.55","      340191175","        22505.95"
"17-Jun-2021","    15648.30","    15769.35","    15616.75","    15691.40","      357649243","        26048.47"
"18-Jun-2021","    15756.50","    15761.50","    15450.90","    15683.35","      640821642","        42024.55"
"21-Jun-2021","    15525.85","    15765.15","    15505.65","    15746.50","      351530072","        22525.89"
"22-Jun-2021","    15840.50","    15895.75","    15752.10","    15772.75","      322237561","        24440.47"
"23-Jun-2021","    15862.80","    15862.95","    15673.95","    15686.95","      287536735","        23222.94"
"24-Jun-2021","    15737.30","    15821.40","    15702.70","    15790.45","      316662241","        29623.58"
"25-Jun-2021","    15839.35","    15870.80","    15772.30","    15860.35","      314614380","        26933.22"
"28-Jun-2021","    15915.35","    15915.65","    15792.15","    15814.70","      255099272","        18713.41"
"29-Jun-2021","    15807.50","    15835.90","    15724.05","    15748.45","      360334724","        24392.13"
"30-Jun-2021","    15776.90","    15839.10","    15708.75","    15721.50","      262386323","        20379.76"
"01-Jul-2021","    15755.05","    15755.55","    15667.05","    15680.00","      224921644","        17359.97"
"02-Jul-2021","    15705.85","    15738.35","    15635.95","    15722.20","      254808999","        18015.42"
